Year,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon,high_temp_days,low_temp_days,heavy_rain_days,snow_days,high_wind_days,low_visibility_days,cloudy_days
1992,San Francisco,37.774929,-122.419415,59.01337546,,53.5707377,58.2854383,57.66482354,60.37054872,1015.183971,,,83.08868397,8.000548725,228.9002732,,0.6963350785,,,,53.09437614,803,Clouds,broken clouds,04d,42,39,4,0,31,0,32
1992,South Lake Tahoe,38.939926,-119.977187,44.23504933,9644.946353,31.34907586,41.67766187,42.27562309,46.35651888,1016.229618,,,65.56332918,4.574473296,182.30525,24.25188889,0.5485923218,,0.7234090909,,46.15115092,801,Clouds,few clouds,02d,23,46,7,7,16,17,45
1993,Eureka,40.802071,-124.163673,53.91243391,8756.099456,49.24181404,52.60407019,51.76851413,56.25618619,1016.497721,,,84.64551048,8.301359389,210.6782133,,0.7505005889,,,,56.61861896,500,Rain,light rain,10d,31,32,11,0,30,35,39
1993,Fresno,36.737798,-119.787125,64.13865845,9125.931738,49.23992202,63.11897378,63.16838834,65.11069846,1014.373192,,,62.59391953,5.242857143,227.1445524,28.31190476,0.8329470672,,,,34.50858951,804,Clouds,overcast clouds,04d,12,31,6,0,26,38,47
1993,Los Angeles,34.054908,-118.242643,67.80772146,,56.12874429,67.91859475,65.0261347,70.00905023,1014.174201,,,69.68447489,4.170131279,160.1181507,,1.335719697,,,,36.56381279,802,Clouds,scattered clouds,03d,40,33,13,0,72,0,48
1993,Palm Springs,33.830296,-116.545292,71.24043216,9453.328494,46.89653247,69.94645855,68.50016149,75.13205959,1013.415103,,,48.04571818,4.79611168,227.4719663,33.01075,0.9329233871,,,,30.39406346,800,Clear,sky is clear,01d,13,45,11,0,10,16,70
1993,Riverside,33.980601,-117.375494,64.34740525,,51.02302397,63.66515183,62.67012557,65.98679909,1014.297374,,,66.08687215,3.250281963,170.1313927,,1.268527443,,,,36.24257991,800,Clear,sky is clear,01d,17,35,17,0,6,0,51
1993,San Francisco,37.774929,-122.419415,58.64913356,,52.62119406,57.82534932,57.22003082,60.05754795,1015.564269,,,81.48230594,8.359234018,228.4453196,,0.7467840376,,,,51.39417808,500,Rain,light rain,10d,47,39,6,0,47,0,44
1993,South Lake Tahoe,38.939926,-119.977187,42.59777123,9522.551587,30.77983692,39.75904643,40.58983805,44.73798188,1016.559909,,,67.16942242,4.884407701,181.0872027,25.9867433,0.4908287293,,0.7790387016,,46.04020385,804,Clouds,overcast clouds,04d,16,53,6,10,28,20,47
1994,Eureka,40.802071,-124.163673,53.30734405,9028.984375,48.98281104,51.81481697,51.16707948,55.6768936,1017.644999,,,85.60348957,8.251609077,221.8697685,,0.76,,,,55.09271297,804,Clouds,overcast clouds,04d,34,40,10,0,28,23,30
